time (yyyyDDD),wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm)
2003148,39.5,7.137200555007439E-6,0.09785406291484833
2003148,40.5,9.358793249703012E-6,0.09408921748399734
2003148,41.5,9.88125157164177E-6,0.09238598495721817
2003148,42.5,6.622278306167573E-6,0.09834738820791245
2003148,43.5,1.249583419848932E-5,0.08997517079114914
2003148,44.5,8.561937647755258E-6,0.09369736164808273
2003148,45.5,8.240410352300387E-6,0.09818536788225174
2003148,46.5,2.0490762835834175E-5,0.09456411749124527
2003148,47.5,1.0152409231523052E-5,0.0877959281206131
2003148,48.5,1.5821209672139958E-5,0.07773100584745407
2003148,49.5,2.529529228922911E-5,0.087771937251091
2003148,50.5,2.501537346688565E-5,0.08361207693815231
2003148,51.5,1.0335765182389878E-5,0.08621951192617416
2003148,52.5,1.2212974070280325E-5,0.09480567276477814
2003148,53.5,9.492439858149737E-6,0.09306946396827698
2003148,54.5,6.266990567382891E-6,0.08870082348585129
2003148,55.5,3.0237826649681665E-5,0.0860975980758667
2003148,56.5,7.724773240624927E-6,0.08549775928258896
2003148,57.5,7.0667256295564584E-6,0.0840340182185173
2003148,58.5,6.308482988970354E-5,0.1098155528306961
2003148,59.5,9.521751962893177E-6,0.08288249373435974
2003148,60.5,2.4024197045946494E-5,0.13821132481098175
2003148,61.5,1.972591780941002E-5,0.12448715418577194
2003148,62.5,4.718243872048333E-5,0.11524760723114014
2003148,63.5,3.590740016079508E-5,0.13538071513175964
2003148,64.5,5.162039087736048E-6,0.08585446327924728
2003148,65.5,4.709385393653065E-6,0.08638902753591537
2003148,66.5,5.17411581313354E-6,0.08582638949155807
2003148,67.5,4.161216111242538E-6,0.08966226875782013
2003148,68.5,8.284170689876191E-6,0.0766366645693779
2003148,69.5,6.533236501127249E-6,0.07347212731838226
2003148,70.5,1.3578440302808303E-5,0.08007534593343735
2003148,71.5,5.548382887354819E-6,0.07627646625041962
2003148,72.5,5.882021469005849E-6,0.07387623190879822
2003148,73.5,3.815368472714908E-6,0.08939091861248016
2003148,74.5,5.24526785738999E-6,0.07400047779083252
2003148,75.5,7.213833214336773E-6,0.07528834044933319
2003148,76.5,1.7840015061665326E-5,0.07232034206390381
2003148,77.5,1.6161611711140722E-5,0.08011078089475632
2003148,78.5,2.3092459741747007E-5,0.08282734453678131
2003148,79.5,1.636691013118252E-5,0.08531106263399124
2003148,80.5,1.3209602911956608E-5,0.06767167150974274
2003148,81.5,1.3991804735269397E-5,0.06866293400526047
2003148,82.5,1.7216485503013246E-5,0.07090742141008377
2003148,83.5,3.939096495741978E-5,0.08248849958181381
2003148,84.5,2.446165308356285E-5,0.07214798033237457
2003148,85.5,2.9455366529873572E-5,0.07032201439142227
2003148,86.5,3.4852655517170206E-5,0.07153726369142532
2003148,87.5,4.1687479097163305E-5,0.06925251334905624
2003148,88.5,4.9303584091831E-5,0.07068401575088501
2003148,89.5,5.70375777897425E-5,0.07591766119003296
2003148,90.5,6.93737601977773E-5,0.0756845772266388
2003148,91.5,5.943782889517024E-5,0.078494131565094
2003148,92.5,1.9964110833825544E-5,0.07267893105745316
2003148,93.5,2.0548581233015284E-5,0.07056829333305359
2003148,94.5,1.524929393781349E-5,0.08491957932710648
2003148,95.5,1.2180200428701937E-5,0.0911470577120781
2003148,96.5,8.898304258764256E-6,0.0776836946606636
2003148,97.5,1.6134486941155046E-4,0.10674536228179932
2003148,98.5,1.8266420738655142E-5,0.08451100438833237
2003148,99.5,2.6814150260179304E-5,0.0843033418059349
2003148,100.5,1.3078533811494708E-5,0.07778949290513992
2003148,101.5,1.5930290828691795E-5,0.07549244910478592
2003148,102.5,1.381183828925714E-4,0.1079091802239418
2003148,103.5,1.228503679158166E-4,0.0814807340502739
2003148,104.5,2.059036705759354E-5,0.07743637263774872
2003148,105.5,1.79822018253617E-5,0.07135976850986481
